"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Wilson Ramos","- - -","111","382","416","117","79","22","1","15","39","70","32","2","80","0","2","0","20","0","0",".306","1433"
"Elias Diaz","Pirates","82","252","277","72","50","12","0","10","33","34","21","1","40","1","3","0","4","0","1",".286","11680"
"Buster Posey","Giants","105","398","448","113","85","22","1","5","47","41","45","3","53","3","2","0","12","3","2",".284","9166"
"J.T. Realmuto","Marlins","125","477","531","132","78","30","3","21","74","74","38","0","104","10","4","0","9","3","2",".277","11739"
"Omar Narvaez","White Sox","97","280","322","77","53","14","1","9","30","30","38","1","65","2","0","2","5","0","2",".275","13338"
"Kurt Suzuki","Braves","105","347","388","94","58","24","0","12","45","50","22","0","43","13","6","0","6","0","0",".271","8259"
"Mitch Garver","Twins","103","302","335","81","53","19","2","7","38","45","29","2","72","2","1","1","8","0","0",".268","15161"
"Yan Gomes","Indians","112","403","435","107","65","26","0","16","52","48","21","2","119","8","3","0","4","0","0",".266","9627"
"Jorge Alfaro","Phillies","108","344","377","90","62","16","2","10","35","37","18","6","138","14","1","0","2","3","0",".262","12180"
"Yadier Molina","Cardinals","123","459","503","120","80","20","0","20","55","74","29","0","66","9","6","0","15","4","3",".261","7007"
"Isiah Kiner-Falefa","Rangers","111","356","396","93","69","18","2","4","43","34","28","1","62","6","1","5","14","7","5",".261","16512"
"John Hicks","Tigers","81","288","312","75","53","12","1","9","35","32","22","0","84","0","1","1","9","0","1",".260","12547"
"Francisco Cervelli","Pirates","104","332","404","86","56","15","3","12","39","57","51","1","84","15","4","2","7","2","3",".259","5275"
"Manny Pina","Brewers","98","306","337","77","53","13","2","9","39","28","21","3","62","5","4","1","13","2","0",".252","2829"
"Willson Contreras","Cubs","138","474","544","118","76","27","5","10","50","54","53","2","121","13","2","2","14","4","1",".249","11609"
"Tucker Barnhart","Reds","138","460","522","114","80","21","3","10","50","46","54","2","96","2","3","3","13","0","4",".248","10200"
"Austin Romine","Yankees","77","242","265","59","37","12","0","10","30","42","17","0","67","2","3","1","10","1","0",".244","5491"
"Nick Hundley","Giants","96","282","305","68","43","13","2","10","34","31","22","2","85","1","0","0","8","2","1",".241","3376"
"Jonathan Lucroy","Athletics","126","415","454","100","74","21","1","4","41","51","29","1","65","3","6","1","12","0","0",".241","7870"
"Yasmani Grandal","Dodgers","140","440","518","106","57","23","2","24","65","68","72","1","124","3","3","0","12","2","1",".241","11368"
"Matt Wieters","Nationals","76","235","271","56","40","8","0","8","24","30","30","3","45","3","2","1","5","0","1",".238","4298"
"Salvador Perez","Royals","129","510","544","120","70","23","0","27","52","80","17","0","108","12","5","0","19","1","1",".235","7304"
"Austin Hedges","Padres","91","303","326","70","40","14","2","14","29","37","21","3","90","1","1","0","9","3","0",".231","12976"
"Tyler Flowers","Braves","82","251","296","57","40","9","0","8","34","30","35","0","76","9","1","0","6","0","0",".227","9134"
"Max Stassi","Astros","88","221","250","50","29","13","0","8","28","27","23","0","74","6","0","0","6","0","0",".226","10059"
"Martin Maldonado","- - -","119","373","404","84","56","18","1","9","39","44","16","0","98","11","2","2","8","0","1",".225","6887"
"Chris Iannetta","Rockies","110","299","360","67","42","13","1","11","36","36","50","5","87","7","3","1","13","0","0",".224","8267"
"Robinson Chirinos","Rangers","113","360","426","80","46","15","1","18","48","65","45","0","140","19","2","0","7","2","0",".222","3142"
"Devin Mesoraco","- - -","84","244","274","54","33","10","0","11","24","33","25","3","52","4","1","0","9","0","0",".221","5666"
"James McCann","Tigers","118","427","457","94","70","16","0","8","31","39","26","0","116","2","2","0","9","0","3",".220","12859"
"Caleb Joseph","Orioles","82","265","280","58","39","14","2","3","28","17","10","0","68","3","1","1","3","2","1",".219","7087"
"Kevin Plawecki","Mets","79","238","277","50","28","13","2","7","33","30","28","2","65","9","1","1","12","0","1",".210","13807"
"Christian Vazquez","Red Sox","80","251","269","52","39","10","0","3","24","16","13","1","41","4","0","1","5","4","1",".207","9774"
"Mike Zunino","Mariners","113","373","405","75","37","18","0","20","37","44","24","0","150","6","2","0","7","0","0",".201","13265"
"Russell Martin","Blue Jays","90","289","352","56","38","8","0","10","37","25","56","0","82","7","0","0","7","0","3",".194","4616"
"Gary Sanchez","Yankees","89","323","374","60","25","17","0","18","51","53","46","0","94","3","2","0","10","1","0",".186","11442"
"Sandy Leon","Red Sox","89","265","288","47","30","12","0","5","30","22","15","0","75","4","1","3","6","1","0",".177","5273"
