"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Mookie Betts","Red Sox","136","520","614","180","96","47","5","32","129","80","81","8","91","8","5","0","5","30","6",".346","13611"
"Christian Yelich","Brewers","147","574","651","187","110","34","7","36","118","110","68","2","135","7","2","0","14","22","4",".326","11477"
"Ben Zobrist","Cubs","139","455","520","139","99","28","3","9","67","58","55","1","60","2","7","1","8","3","4",".305","7435"
"Jose Martinez","Cardinals","152","534","590","163","116","30","0","17","64","83","49","0","104","2","3","2","15","0","3",".305","7996"
"Adam Eaton","Nationals","95","319","370","96","72","18","1","5","55","33","38","0","64","11","0","2","2","9","1",".301","11205"
"Jesse Winker","Reds","89","281","334","84","61","16","0","7","38","43","49","4","46","2","1","1","6","0","0",".299","13590"
"Nicholas Castellanos","Tigers","157","620","678","185","111","46","5","23","88","89","49","5","151","6","3","0","8","2","1",".298","11737"
"Nick Markakis","Braves","162","623","705","185","126","43","2","14","78","93","72","10","80","1","9","0","18","1","1",".297","5930"
"Mallex Smith","Rays","141","480","544","142","103","27","10","2","65","40","47","0","98","8","2","7","11","40","12",".296","13608"
"Matt Kemp","Dodgers","146","462","506","134","88","25","0","21","62","85","36","2","115","1","7","0","14","0","0",".290","5631"
"Mitch Haniger","Mariners","157","596","683","170","102","38","4","26","90","93","70","4","148","10","7","0","8","8","2",".285","14274"
"Melky Cabrera","Indians","78","250","278","70","47","17","0","6","28","39","20","0","38","3","5","0","10","1","1",".280","4022"
"Franmil Reyes","Padres","87","261","285","73","48","9","0","16","36","31","24","0","80","0","0","0","5","0","0",".280","14566"
"Aaron Judge","Yankees","112","413","498","115","66","22","0","27","77","67","76","3","152","4","5","0","10","6","3",".278","15640"
"Carlos Gonzalez","Rockies","132","463","504","128","76","32","4","16","71","64","37","4","113","1","3","0","5","5","2",".276","7287"
"David Dahl","Rockies","77","249","271","68","38","11","3","16","31","48","19","4","68","1","2","0","4","5","3",".273","13744"
"Brian Anderson","Marlins","156","590","670","161","112","34","4","11","87","65","62","2","129","16","2","0","18","2","4",".273","18289"
"Robbie Grossman","Twins","129","396","465","108","75","27","1","5","50","48","60","0","83","2","5","2","2","0","1",".273","5254"
"Ben Gamel","Mariners","101","257","293","70","51","14","4","1","37","19","31","1","61","4","1","0","4","7","3",".272","12160"
"Jason Heyward","Cubs","127","440","489","119","84","23","4","8","67","57","42","1","60","2","2","2","7","1","1",".270","4940"
"Jon Jay","- - -","143","527","586","141","112","19","7","3","74","40","33","0","95","18","3","5","11","4","3",".268","5227"
"Stephen Piscotty","Athletics","151","546","605","146","78","41","0","27","78","88","42","0","114","12","5","0","21","2","0",".267","13367"
"Yasiel Puig","Dodgers","125","405","444","108","63","21","1","23","60","63","36","2","87","1","2","0","15","15","5",".267","14225"
"George Springer","Astros","140","544","620","144","96","26","0","22","102","71","64","0","122","5","3","0","12","6","4",".265","12856"
"Jorge Soler","Royals","61","223","257","59","32","18","0","9","27","28","28","0","69","4","2","0","6","3","1",".265","14221"
"Harrison Bader","Cardinals","138","379","427","100","66","20","2","12","61","37","31","3","125","11","4","2","1","15","3",".264","18030"
"Brandon Nimmo","Mets","140","433","535","114","61","28","8","17","77","47","80","2","140","22","0","0","8","9","6",".263","12927"
"Danny Valencia","Orioles","79","255","282","67","49","8","1","9","28","28","22","2","53","0","5","0","8","1","1",".263","6364"
"Travis Jankowski","Padres","117","347","387","90","71","12","3","4","45","17","37","0","73","1","0","2","7","24","7",".259","13768"
"Nomar Mazara","Rangers","128","489","536","126","80","25","1","20","61","77","40","2","116","4","3","0","13","1","0",".258","14553"
"Nick Williams","Phillies","140","407","448","104","72","12","3","17","53","50","32","2","111","9","0","0","4","3","2",".256","14330"
"Scott Schebler","Reds","107","380","430","97","61","19","0","17","55","49","39","1","99","9","2","0","5","4","2",".255","12225"
"Andrew McCutchen","- - -","155","569","682","145","92","30","3","20","83","65","95","1","145","11","7","0","12","14","9",".255","9847"
"Gregory Polanco","Pirates","130","461","535","117","56","32","6","23","75","81","61","5","117","3","7","0","11","12","2",".254","12907"
"Bryce Harper","Nationals","159","550","695","137","69","34","0","34","103","100","130","16","169","6","9","0","7","13","3",".249","11579"
"Hunter Renfroe","Padres","117","403","441","100","50","23","1","26","53","68","30","2","109","3","5","0","9","2","1",".248","15464"
"Randal Grichuk","Blue Jays","124","424","462","104","46","32","1","25","60","61","27","0","122","8","3","0","5","3","2",".245","10243"
"Josh Reddick","Astros","134","433","487","105","73","13","2","17","63","47","49","3","77","0","2","1","9","7","2",".242","3892"
"Curtis Granderson","- - -","123","343","403","83","46","22","2","13","60","38","54","1","106","4","1","1","3","2","1",".242","4747"
"Daniel Palka","White Sox","124","417","449","100","55","15","3","27","56","67","30","3","153","2","0","0","7","2","1",".240","14897"
"Teoscar Hernandez","Blue Jays","134","476","523","114","56","29","7","22","67","57","41","0","163","3","3","0","14","5","5",".239","13066"
"Avisail Garcia","White Sox","93","356","385","84","52","11","2","19","47","49","20","2","102","4","5","0","9","3","1",".236","5760"
"Rosell Herrera","- - -","86","278","302","65","47","14","3","1","25","20","19","0","57","2","2","1","6","3","5",".234","11611"
"Jorge Bonifacio","Royals","69","236","270","53","31","16","2","4","31","23","29","1","71","2","2","1","3","0","1",".225","12174"
"Max Kepler","Twins","156","532","611","119","65","30","4","20","80","58","71","2","96","5","3","0","8","4","5",".224","12144"
"Jay Bruce","Mets","94","319","361","71","43","18","1","9","31","37","41","4","75","0","1","0","3","2","3",".223","9892"
"Steven Souza Jr.","Diamondbacks","72","241","272","53","30","15","3","5","21","29","28","0","75","3","0","0","4","6","1",".220","5667"
"Eric Thames","Brewers","96","247","278","54","25","10","3","16","41","37","29","4","97","2","0","0","3","7","0",".219","3711"
"Carlos Gomez","Rays","118","360","408","75","49","15","2","9","42","32","25","0","103","21","0","2","6","12","3",".208","4881"
"Kole Calhoun","Angels","137","491","552","102","63","18","2","19","71","57","53","2","133","1","6","0","9","6","2",".208","11200"
"Chris Owings","Diamondbacks","106","281","309","58","39","15","0","4","34","22","24","4","75","2","2","0","4","11","4",".206","10030"
"Jose Bautista","- - -","122","325","399","66","35","18","0","13","52","48","67","2","111","6","1","0","2","4","3",".203","1887"
"Aaron Altherr","Phillies","105","243","285","44","24","11","1","8","28","38","36","0","91","4","2","0","13","3","2",".181","11270"
"Dexter Fowler","Cardinals","90","289","334","52","34","10","0","8","40","31","38","0","75","3","4","0","2","5","2",".180","4062"
